month,PSA,cameras
2017-04-01,607,0
2017-04-01,608,4
2017-04-01,701,5
2017-04-01,702,0
2017-04-01,703,2
2017-04-01,704,1
2017-04-01,705,0
2017-04-01,706,0
2017-04-01,707,0
2017-04-01,708,12
2017-05-01,101,0
2017-05-01,102,0
2017-05-01,103,0
2017-05-01,104,16
2017-05-01,105,3
2017-05-01,106,2
2017-05-01,107,7
2017-05-01,108,13
2017-05-01,201,1
2017-05-01,202,9
2017-05-01,203,2
2017-05-01,204,3
2017-05-01,205,1
2017-05-01,206,4
2017-05-01,207,0
2017-05-01,208,4
2017-05-01,301,1
2017-05-01,302,8
2017-05-01,303,2
2017-05-01,304,2
2017-05-01,305,3
2017-05-01,306,0
2017-05-01,307,1
2017-05-01,308,1
2017-05-01,401,3
2017-05-01,402,2
2017-05-01,403,7
2017-05-01,404,6
2017-05-01,405,3
2017-05-01,406,4
2017-05-01,407,7
2017-05-01,408,8
2017-05-01,409,6
2017-05-01,501,13
2017-05-01,502,17
2017-05-01,503,16
2017-05-01,504,6
2017-05-01,505,2
2017-05-01,506,4
2017-05-01,507,8
2017-05-01,601,1
2017-05-01,602,2
2017-05-01,603,2
2017-05-01,604,2
2017-05-01,605,8
2017-05-01,606,2
2017-05-01,607,0
2017-05-01,608,1
2017-05-01,701,3
2017-05-01,702,0
2017-05-01,703,4
2017-05-01,704,2
2017-05-01,705,1
2017-05-01,706,0
2017-05-01,707,0
2017-05-01,708,1
2017-06-01,101,1
2017-06-01,102,0
2017-06-01,103,0
2017-06-01,104,5
2017-06-01,105,0
2017-06-01,106,1
2017-06-01,107,11
2017-06-01,108,10
2017-06-01,201,2
2017-06-01,202,4
2017-06-01,203,1
2017-06-01,204,1
2017-06-01,205,1
2017-06-01,206,1
2017-06-01,207,0
2017-06-01,208,0
2017-06-01,301,0
2017-06-01,302,3
2017-06-01,303,0
2017-06-01,304,1
2017-06-01,305,0
2017-06-01,306,1
2017-06-01,307,1
2017-06-01,308,4
2017-06-01,401,3
2017-06-01,402,5
2017-06-01,403,3
2017-06-01,404,5
2017-06-01,405,7
2017-06-01,406,1
2017-06-01,407,11
2017-06-01,408,3
2017-06-01,409,2
2017-06-01,501,5
2017-06-01,502,2
2017-06-01,503,6
2017-06-01,504,7
2017-06-01,505,0
2017-06-01,506,5
2017-06-01,507,7
2017-06-01,601,0
2017-06-01,602,0
2017-06-01,603,0
2017-06-01,604,2
2017-06-01,605,2
2017-06-01,606,5
2017-06-01,607,3
2017-06-01,608,0
2017-06-01,701,0
2017-06-01,702,0
2017-06-01,703,0
2017-06-01,704,3
2017-06-01,705,1
2017-06-01,706,0
2017-06-01,707,0
2017-06-01,708,0
2017-07-01,101,0
2017-07-01,102,0
2017-07-01,103,0
2017-07-01,104,10
2017-07-01,105,1
2017-07-01,106,2
2017-07-01,107,3
2017-07-01,108,8
2017-07-01,201,0
2017-07-01,202,3
2017-07-01,203,1
2017-07-01,204,0
2017-07-01,205,2
2017-07-01,206,2
2017-07-01,207,1
2017-07-01,208,1
2017-07-01,301,1
2017-07-01,302,8
2017-07-01,303,0
2017-07-01,304,0
2017-07-01,305,4
2017-07-01,306,1
2017-07-01,307,1
2017-07-01,308,2
2017-07-01,401,1
2017-07-01,402,4
2017-07-01,403,9
2017-07-01,404,6
2017-07-01,405,1
2017-07-01,406,0
2017-07-01,407,11
2017-07-01,408,2
2017-07-01,409,6
2017-07-01,501,9
2017-07-01,502,3
2017-07-01,503,7
2017-07-01,504,1
2017-07-01,505,2
2017-07-01,506,3
2017-07-01,507,4
2017-07-01,601,0
2017-07-01,602,0
2017-07-01,603,2
2017-07-01,604,0
2017-07-01,605,0
2017-07-01,606,2
2017-07-01,607,0
2017-07-01,608,2
2017-07-01,701,1
2017-07-01,702,0
2017-07-01,703,0
2017-07-01,704,0
2017-07-01,705,2
2017-07-01,706,1
2017-07-01,707,0
2017-07-01,708,0
2017-08-01,101,0
2017-08-01,102,1
2017-08-01,103,0
2017-08-01,104,14
2017-08-01,105,1
2017-08-01,106,3
2017-08-01,107,16
2017-08-01,108,19
2017-08-01,201,3
2017-08-01,202,9
2017-08-01,203,3
2017-08-01,204,3
2017-08-01,205,5
2017-08-01,206,5
2017-08-01,207,2
2017-08-01,208,0
2017-08-01,301,11
2017-08-01,302,10
2017-08-01,303,3
2017-08-01,304,1
2017-08-01,305,6
2017-08-01,306,0
2017-08-01,307,3
2017-08-01,308,4
2017-08-01,401,2
2017-08-01,402,7
2017-08-01,403,12
2017-08-01,404,7
2017-08-01,405,12
2017-08-01,406,7
2017-08-01,407,21
2017-08-01,408,1
2017-08-01,409,8
2017-08-01,501,15
2017-08-01,502,10
2017-08-01,503,23
2017-08-01,504,9
2017-08-01,505,3
2017-08-01,506,8
2017-08-01,507,15
2017-08-01,601,2
2017-08-01,602,6
2017-08-01,603,3
2017-08-01,604,4
2017-08-01,605,5
2017-08-01,606,3
2017-08-01,607,2
2017-08-01,608,3
2017-08-01,701,2
2017-08-01,702,2
2017-08-01,703,2
2017-08-01,704,3
2017-08-01,705,5
2017-08-01,706,2
2017-08-01,707,2
2017-08-01,708,1
2017-09-01,101,0
2017-09-01,102,0
2017-09-01,103,0
2017-09-01,104,0
2017-09-01,105,1
2017-09-01,106,0
2017-09-01,107,2
2017-09-01,108,6
2017-09-01,201,3
2017-09-01,202,0
2017-09-01,203,0
2017-09-01,204,0
2017-09-01,205,1
2017-09-01,206,1
2017-09-01,207,0
2017-09-01,208,2
2017-09-01,301,0
2017-09-01,302,2
2017-09-01,303,1
2017-09-01,304,2
2017-09-01,305,2
2017-09-01,306,2
2017-09-01,307,0
2017-09-01,308,0
2017-09-01,401,0
2017-09-01,402,1
2017-09-01,403,1
2017-09-01,404,1
2017-09-01,405,3
2017-09-01,406,0
2017-09-01,407,8
2017-09-01,408,3
2017-09-01,409,0
2017-09-01,501,3
2017-09-01,502,1
2017-09-01,503,3
2017-09-01,504,3
2017-09-01,505,1
2017-09-01,506,3
2017-09-01,507,2
2017-09-01,601,0
2017-09-01,602,0
2017-09-01,603,1
2017-09-01,604,0
2017-09-01,605,2
2017-09-01,606,0
2017-09-01,607,1
2017-09-01,608,0
2017-09-01,701,0
2017-09-01,702,1
2017-09-01,703,0
2017-09-01,704,0
2017-09-01,705,0
2017-09-01,706,0
2017-09-01,707,0
2017-09-01,708,0
2017-10-01,101,0
2017-10-01,102,0
2017-10-01,103,0
2017-10-01,104,4
2017-10-01,105,1
2017-10-01,106,0
2017-10-01,107,6
2017-10-01,108,5
2017-10-01,201,0
2017-10-01,202,2
2017-10-01,203,0
2017-10-01,204,0
2017-10-01,205,0
2017-10-01,206,3
2017-10-01,207,0
2017-10-01,208,0
2017-10-01,301,0
2017-10-01,302,2
2017-10-01,303,0
2017-10-01,304,0
2017-10-01,305,0
2017-10-01,306,0
2017-10-01,307,1
2017-10-01,308,1
2017-10-01,401,2
2017-10-01,402,2
2017-10-01,403,1
2017-10-01,404,2
2017-10-01,405,3
2017-10-01,406,3
2017-10-01,407,3
2017-10-01,408,1
2017-10-01,409,0
2017-10-01,501,0
2017-10-01,502,2
2017-10-01,503,3
2017-10-01,504,6
2017-10-01,505,0
2017-10-01,506,4
2017-10-01,507,2
2017-10-01,601,0
2017-10-01,602,0
2017-10-01,603,0
2017-10-01,604,4
2017-10-01,605,1
2017-10-01,606,1
2017-10-01,607,0
