month,PSA,OFFENSE,crimes
2017-02-01,101,assault w/dangerous weapon,1
2017-02-01,101,burglary,1
2017-02-01,101,homicide,0
2017-02-01,101,motor vehicle theft,4
2017-02-01,101,robbery,3
2017-02-01,101,sex abuse,0
2017-02-01,101,theft f/auto,13
2017-02-01,101,theft/other,41
2017-02-01,102,arson,0
2017-02-01,102,assault w/dangerous weapon,2
2017-02-01,102,burglary,0
2017-02-01,102,homicide,0
2017-02-01,102,motor vehicle theft,1
2017-02-01,102,robbery,4
2017-02-01,102,sex abuse,1
2017-02-01,102,theft f/auto,9
2017-02-01,102,theft/other,19
2017-02-01,103,arson,0
2017-02-01,103,assault w/dangerous weapon,0
2017-02-01,103,burglary,0
2017-02-01,103,homicide,0
2017-02-01,103,motor vehicle theft,1
2017-02-01,103,robbery,0
2017-02-01,103,sex abuse,0
2017-02-01,103,theft f/auto,8
2017-02-01,103,theft/other,3
2017-02-01,104,arson,0
2017-02-01,104,assault w/dangerous weapon,3
2017-02-01,104,burglary,2
2017-02-01,104,homicide,1
2017-02-01,104,motor vehicle theft,5
2017-02-01,104,robbery,3
2017-02-01,104,sex abuse,0
2017-02-01,104,theft f/auto,21
2017-02-01,104,theft/other,25
2017-02-01,105,arson,0
2017-02-01,105,assault w/dangerous weapon,1
2017-02-01,105,burglary,0
2017-02-01,105,homicide,0
2017-02-01,105,motor vehicle theft,2
2017-02-01,105,robbery,1
2017-02-01,105,sex abuse,0
2017-02-01,105,theft f/auto,5
2017-02-01,105,theft/other,21
2017-02-01,106,arson,0
2017-02-01,106,assault w/dangerous weapon,3
2017-02-01,106,burglary,2
2017-02-01,106,homicide,0
2017-02-01,106,motor vehicle theft,4
2017-02-01,106,robbery,4
2017-02-01,106,sex abuse,0
2017-02-01,106,theft f/auto,15
2017-02-01,106,theft/other,40
2017-02-01,107,arson,0
2017-02-01,107,assault w/dangerous weapon,4
2017-02-01,107,burglary,4
2017-02-01,107,homicide,0
2017-02-01,107,motor vehicle theft,2
2017-02-01,107,robbery,3
2017-02-01,107,sex abuse,0
2017-02-01,107,theft f/auto,14
2017-02-01,107,theft/other,19
2017-02-01,108,arson,0
2017-02-01,108,assault w/dangerous weapon,1
2017-02-01,108,burglary,1
2017-02-01,108,homicide,0
2017-02-01,108,motor vehicle theft,4
2017-02-01,108,robbery,1
2017-02-01,108,sex abuse,0
2017-02-01,108,theft f/auto,9
2017-02-01,108,theft/other,12
2017-02-01,201,arson,0
2017-02-01,201,assault w/dangerous weapon,0
2017-02-01,201,burglary,0
2017-02-01,201,homicide,0
2017-02-01,201,motor vehicle theft,2
2017-02-01,201,robbery,0
2017-02-01,201,sex abuse,0
2017-02-01,201,theft f/auto,10
2017-02-01,201,theft/other,5
2017-02-01,202,arson,0
2017-02-01,202,assault w/dangerous weapon,0
2017-02-01,202,burglary,5
2017-02-01,202,homicide,0
2017-02-01,202,motor vehicle theft,1
2017-02-01,202,robbery,3
2017-02-01,202,sex abuse,0
2017-02-01,202,theft f/auto,11
2017-02-01,202,theft/other,21
2017-02-01,203,arson,0
2017-02-01,203,assault w/dangerous weapon,0
2017-02-01,203,burglary,0
2017-02-01,203,homicide,0
2017-02-01,203,motor vehicle theft,1
2017-02-01,203,robbery,1
2017-02-01,203,sex abuse,0
2017-02-01,203,theft f/auto,6
2017-02-01,203,theft/other,9
2017-02-01,204,arson,0
2017-02-01,204,assault w/dangerous weapon,0
2017-02-01,204,burglary,3
2017-02-01,204,homicide,0
2017-02-01,204,motor vehicle theft,3
2017-02-01,204,robbery,1
2017-02-01,204,sex abuse,0
2017-02-01,204,theft f/auto,10
2017-02-01,204,theft/other,15
2017-02-01,205,arson,0
2017-02-01,205,assault w/dangerous weapon,0
2017-02-01,205,burglary,4
2017-02-01,205,homicide,0
2017-02-01,205,motor vehicle theft,4
2017-02-01,205,robbery,2
2017-02-01,205,sex abuse,0
2017-02-01,205,theft f/auto,6
2017-02-01,205,theft/other,5
2017-02-01,206,arson,0
2017-02-01,206,assault w/dangerous weapon,0
2017-02-01,206,burglary,2
2017-02-01,206,homicide,0
2017-02-01,206,motor vehicle theft,2
2017-02-01,206,robbery,1
2017-02-01,206,sex abuse,0
2017-02-01,206,theft f/auto,16
2017-02-01,206,theft/other,47
2017-02-01,207,arson,0
2017-02-01,207,assault w/dangerous weapon,0
2017-02-01,207,burglary,2
2017-02-01,207,homicide,0
2017-02-01,207,motor vehicle theft,3
2017-02-01,207,robbery,3
2017-02-01,207,sex abuse,0
2017-02-01,207,theft f/auto,17
2017-02-01,207,theft/other,55
2017-02-01,208,arson,0
2017-02-01,208,assault w/dangerous weapon,2
2017-02-01,208,burglary,2
2017-02-01,208,homicide,0
2017-02-01,208,motor vehicle theft,5
2017-02-01,208,robbery,1
2017-02-01,208,sex abuse,2
2017-02-01,208,theft f/auto,23
2017-02-01,208,theft/other,47
2017-02-01,209,arson,0
2017-02-01,209,assault w/dangerous weapon,0
2017-02-01,209,burglary,0
2017-02-01,209,homicide,0
2017-02-01,209,motor vehicle theft,2
2017-02-01,209,robbery,1
2017-02-01,209,sex abuse,0
2017-02-01,209,theft f/auto,15
2017-02-01,209,theft/other,44
2017-02-01,301,arson,0
2017-02-01,301,assault w/dangerous weapon,0
2017-02-01,301,burglary,1
2017-02-01,301,homicide,0
2017-02-01,301,motor vehicle theft,0
2017-02-01,301,robbery,0
2017-02-01,301,sex abuse,0
2017-02-01,301,theft f/auto,18
2017-02-01,301,theft/other,14
2017-02-01,302,arson,0
2017-02-01,302,assault w/dangerous weapon,3
2017-02-01,302,burglary,5
2017-02-01,302,homicide,0
2017-02-01,302,motor vehicle theft,5
2017-02-01,302,robbery,3
2017-02-01,302,sex abuse,1
2017-02-01,302,theft f/auto,25
2017-02-01,302,theft/other,53
2017-02-01,303,arson,0
2017-02-01,303,assault w/dangerous weapon,0
2017-02-01,303,burglary,0
2017-02-01,303,homicide,0
2017-02-01,303,motor vehicle theft,3
2017-02-01,303,robbery,1
2017-02-01,303,sex abuse,0
2017-02-01,303,theft f/auto,15
2017-02-01,303,theft/other,31
2017-02-01,304,arson,0
2017-02-01,304,assault w/dangerous weapon,2
2017-02-01,304,burglary,0
2017-02-01,304,homicide,0
2017-02-01,304,motor vehicle theft,2
2017-02-01,304,robbery,4
2017-02-01,304,sex abuse,1
2017-02-01,304,theft f/auto,19
2017-02-01,304,theft/other,13
2017-02-01,305,arson,0
2017-02-01,305,assault w/dangerous weapon,0
2017-02-01,305,burglary,0
2017-02-01,305,homicide,0
2017-02-01,305,motor vehicle theft,4
2017-02-01,305,robbery,2
2017-02-01,305,sex abuse,0
2017-02-01,305,theft f/auto,56
2017-02-01,305,theft/other,43
2017-02-01,306,arson,0
2017-02-01,306,assault w/dangerous weapon,0
2017-02-01,306,burglary,3
2017-02-01,306,homicide,0
2017-02-01,306,motor vehicle theft,1
2017-02-01,306,robbery,3
2017-02-01,306,sex abuse,0
2017-02-01,306,theft f/auto,25
2017-02-01,306,theft/other,13
2017-02-01,307,arson,0
2017-02-01,307,assault w/dangerous weapon,6
2017-02-01,307,burglary,0
2017-02-01,307,homicide,0
2017-02-01,307,motor vehicle theft,3
2017-02-01,307,robbery,0
2017-02-01,307,sex abuse,2
2017-02-01,307,theft f/auto,36
2017-02-01,307,theft/other,16
2017-02-01,308,arson,0
2017-02-01,308,assault w/dangerous weapon,1
2017-02-01,308,burglary,1
2017-02-01,308,homicide,1
2017-02-01,308,motor vehicle theft,1
2017-02-01,308,robbery,3
2017-02-01,308,sex abuse,0
2017-02-01,308,theft f/auto,21
2017-02-01,308,theft/other,21
2017-02-01,401,arson,0
2017-02-01,401,assault w/dangerous weapon,0
2017-02-01,401,burglary,0
2017-02-01,401,homicide,0
2017-02-01,401,motor vehicle theft,0
2017-02-01,401,robbery,0
2017-02-01,401,sex abuse,0
2017-02-01,401,theft f/auto,25
2017-02-01,401,theft/other,5
2017-02-01,402,arson,0
2017-02-01,402,assault w/dangerous weapon,1
2017-02-01,402,burglary,4
2017-02-01,402,homicide,0
2017-02-01,402,motor vehicle theft,1
2017-02-01,402,robbery,1
2017-02-01,402,sex abuse,0
2017-02-01,402,theft f/auto,22
2017-02-01,402,theft/other,13
2017-02-01,403,arson,0
2017-02-01,403,assault w/dangerous weapon,3
2017-02-01,403,burglary,2
2017-02-01,403,homicide,0
2017-02-01,403,motor vehicle theft,2
2017-02-01,403,robbery,5
2017-02-01,403,sex abuse,0
2017-02-01,403,theft f/auto,13
2017-02-01,403,theft/other,8
2017-02-01,404,arson,0
2017-02-01,404,assault w/dangerous weapon,3
2017-02-01,404,burglary,1
2017-02-01,404,homicide,0
2017-02-01,404,motor vehicle theft,0
2017-02-01,404,robbery,3
2017-02-01,404,sex abuse,0
2017-02-01,404,theft f/auto,16
2017-02-01,404,theft/other,31
2017-02-01,405,arson,0
2017-02-01,405,assault w/dangerous weapon,4
2017-02-01,405,burglary,2
2017-02-01,405,homicide,0
2017-02-01,405,motor vehicle theft,2
2017-02-01,405,robbery,4
2017-02-01,405,sex abuse,1
2017-02-01,405,theft f/auto,9
2017-02-01,405,theft/other,13
2017-02-01,406,arson,0
2017-02-01,406,assault w/dangerous weapon,1
2017-02-01,406,burglary,2
2017-02-01,406,homicide,0
